gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
DHX35,DEAH (Asp-Glu-Ala-His) box polypeptide 35 [Source:HGNC Symbol;Acc:15861],ENSG00000101452,ENSP00000252011,4,"OB_NTP_bind[1],HA2[1],Helicase_C[1],DEAD[1]",family-711,"DHX15,DHX33,DHX8,DHX35,DHX32,DHX16,DQX1",DHX15,"DHX33[35,39],DHX8[46,30],DHX35[38,43],DHX32[36,38],DHX16[46,35],DQX1[33,36]",mRNA,mRNA,by homology,.,.,.,.,.,.,"GO:0071013,GO:0000398","catalytic step 2 spliceosome,mRNA splicing, via spliceosome","GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0071013,GO:0000398","ATP binding,nucleic acid binding,ATP-dependent helicase activity,helicase activity,catalytic step 2 spliceosome,mRNA splicing, via spliceosome",.
DHX36,DEAH (Asp-Glu-Ala-His) box polypeptide 36 [Source:HGNC Symbol;Acc:14410],ENSG00000174953,ENSP00000417078,4,"OB_NTP_bind[1],HA2[1],Helicase_C[1],DEAD[1]",family-1072,"DHX36,DHX30,YTHDC2,DHX9,DHX29,DHX57,TDRD9",DHX36,"DHX30[29,25],YTHDC2[34,24],DHX9[31,24],DHX29[35,26],DHX57[42,30],TDRD9[24,18]",mRNA,mRNA,"The protein encoded by this gene has been shown to enhance the deadenylation and decay of mRNAs with 3'-UTR AU-rich elements (ARE-mRNA). The protein has also been shown to resolve into single strands the highly stable tetramolecular DNA configuration (G4) that can form spontaneously in guanine-rich regions of DNA. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]",helicase,novel,1,1,.,.,"GO:0003725,GO:0043330","double-stranded RNA binding,response to exogenous dsRNA","GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0005634,GO:0005737,GO:0003725,GO:0009615,GO:0043330,GO:0005515,GO:0005829,GO:0045087,GO:0032481","ATP binding,nucleic acid binding,ATP-dependent helicase activity,helicase activity,nucleus,cytoplasm,double-stranded RNA binding,response to virus,response to exogenous dsRNA,protein binding,cytosol,innate immune response,positive regulation of type I interferon production",.
DHX37,DEAH (Asp-Glu-Ala-His) box polypeptide 37 [Source:HGNC Symbol;Acc:17210],ENSG00000150990,ENSP00000311135,4,"OB_NTP_bind[1],HA2[1],Helicase_C[1],DEAD[1]",family-440,DHX37,.,.,snoRNA,putative snoRNA,ECM16,.,.,.,.,.,.,.,.,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0006810","ATP binding,nucleic acid binding,ATP-dependent helicase activity,helicase activity,transport",.
DHX38,DEAH (Asp-Glu-Ala-His) box polypeptide 38 [Source:HGNC Symbol;Acc:17211],ENSG00000140829,ENSP00000268482,4,"OB_NTP_bind[1],HA2[1],Helicase_C[1],DEAD[1]",family-469,"DHX38,DHX40",DHX38,"DHX40[24,37]",mRNA,mRNA,"This protein resembles yeast Prp16 more closely than other DEAD/H family members. It is an ATPase and essential for the catalytic step II in pre-mRNA splicing process. [provided by RefSeq, Jul 2008]",helicase,.,.,1,.,.,"GO:0071013,GO:0008380,GO:0000398,GO:0006406,GO:0031124","catalytic step 2 spliceosome,RNA splicing,mRNA splicing, via spliceosome,mRNA export from nucleus,mRNA 3'-end processing","GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0008026,GO:0005634,GO:0005654,GO:0071013,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0006406,GO:0031124,GO:0006369","ATP binding,nucleic acid binding,helicase activity,protein binding,ATP-dependent helicase activity,nucleus,nucleoplasm,catalytic step 2 spliceosome,transcription from RNA polymerase II promoter,gene expression,RNA splicing,mRNA splicing, via spliceosome,mRNA export from nucleus,mRNA 3'-end processing,termination of RNA polymerase II transcription",.
DHX40,DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:HGNC Symbol;Acc:18018],ENSG00000108406,ENSP00000388749,4,"OB_NTP_bind[1],HA2[1],Helicase_C[1],DEAD[1]",family-469,"DHX38,DHX40",DHX38,"DHX40[24,37]",mRNA,mRNA,PRP16 yeast homolog,.,.,.,.,.,.,.,.,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0006810","ATP binding,nucleic acid binding,ATP-dependent helicase activity,helicase activity,transport",.
DHX57,DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:HGNC Symbol;Acc:20086],ENSG00000163214,ENSP00000295373,5,"OB_NTP_bind[1],HA2[1],Helicase_C[1],DEAD[1],RWD[1]",family-1072,"DHX36,DHX30,YTHDC2,DHX9,DHX29,DHX57,TDRD9",DHX36,"DHX30[29,25],YTHDC2[34,24],DHX9[31,24],DHX29[35,26],DHX57[42,30],TDRD9[24,18]",mRNA,mRNA,by homology,helicase,novel,1,1,.,1,.,.,"GO:0005515,GO:0046872,GO:0005524,GO:0003676,GO:0004386,GO:0008026","protein binding,metal ion binding,ATP binding,nucleic acid binding,helicase activity,ATP-dependent helicase activity",.
DHX58,DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:HGNC Symbol;Acc:29517],ENSG00000260178,ENSP00000455290,3,"Helicase_C[1],ResIII[1],RIG-I_C-RD[1]",family-358,"DDX58,IFIH1,DHX58",DDX58,"IFIH1[33,29],DHX58[22,30]",ncRNA,viral RNA,18411269,.,.,.,.,.,.,"GO:0003725,GO:0003727","double-stranded RNA binding,single-stranded RNA binding","GO:0005524,GO:0003676,GO:0003677,GO:0008026,GO:0016787,GO:0005737,GO:0009615,GO:0032480,GO:0045824,GO:0032481,GO:0039536,GO:1900245,GO:1900246,GO:0005515,GO:0008270,GO:0016817,GO:0003725,GO:0003727,GO:0004386,GO:0045087,GO:0051607,GO:0019048,GO:0045088,GO:0039534","ATP binding,nucleic acid binding,DNA binding,ATP-dependent helicase activity,hydrolase activity,cytoplasm,response to virus,negative regulation of type I interferon production,negative regulation of innate immune response,positive regulation of type I interferon production,negative regulation of RIG-I signaling pathway,positive regulation of MDA-5 signaling pathway,positive regulation of RIG-I signaling pathway,protein binding,zinc ion binding,hydrolase activity, acting on acid anhydrides,double-stranded RNA binding,single-stranded RNA binding,helicase activity,innate immune response,defense response to virus,modulation by virus of host morphology or physiology,regulation of innate immune response,negative regulation of MDA-5 signaling pathway",.
DHX8,DEAH (Asp-Glu-Ala-His) box polypeptide 8 [Source:HGNC Symbol;Acc:2749],ENSG00000067596,ENSP00000262415,4,"OB_NTP_bind[1],S1[1],Helicase_C[1],DEAD[1]",family-711,"DHX15,DHX33,DHX8,DHX35,DHX32,DHX16,DQX1",DHX15,"DHX33[35,39],DHX8[46,30],DHX35[38,43],DHX32[36,38],DHX16[46,35],DQX1[33,36]",mRNA,mRNA,"This protein facilitates nuclear export of spliced mRNA by releasing the RNA from the spliceosome. [provided by RefSeq, Jul 2008]",helicase,RNAbinding,1,1,.,1,"GO:0003723,GO:0004004,GO:0005681,GO:0071013,GO:0008380,GO:0000398,GO:0006396","RNA binding,ATP-dependent RNA helicase activity,spliceosomal complex,catalytic step 2 spliceosome,RNA splicing,mRNA splicing, via spliceosome,RNA processing","GO:0003723,GO:0005515,GO:0005524,GO:0003676,GO:0008026,GO:0042802,GO:0004386,GO:0004004,GO:0005634,GO:0005681,GO:0071013,GO:0008380,GO:0000398,GO:0006396,GO:0006810","RNA binding,protein binding,ATP binding,nucleic acid binding,ATP-dependent helicase activity,identical protein binding,helicase activity,ATP-dependent RNA helicase activity,nucleus,spliceosomal complex,catalytic step 2 spliceosome,RNA splicing,mRNA splicing, via spliceosome,RNA processing,transport",.
DHX9,DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:HGNC Symbol;Acc:2750],ENSG00000135829,ENSP00000356520,6,"OB_NTP_bind[1],HA2[1],Helicase_C[1],dsrm[2],DEAD[1]",family-1072,"DHX36,DHX30,YTHDC2,DHX9,DHX29,DHX57,TDRD9",DHX36,"DHX30[29,25],YTHDC2[34,24],DHX9[31,24],DHX29[35,26],DHX57[42,30],TDRD9[24,18]",ncRNA,viral RNA,"This protein localizes to both the nucleus and the cytoplasm and functions as a transcriptional regulator. This protein may also be involved in the expression and nuclear export of retroviral RNAs. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 11 and 13.[provided by RefSeq, Feb 2010]",helicase,RNAbinding,1,1,1,.,"GO:0003723,GO:0003724,GO:0004004,GO:0030529,GO:0070937,GO:0008380,GO:0000398,GO:0070934","RNA binding,RNA helicase activity,ATP-dependent RNA helicase activity,ribonucleoprotein complex,CRD-mediated mRNA stability complex,RNA splicing,mRNA splicing, via spliceosome,CRD-mediated mRNA stabilization","GO:0005515,GO:0003723,GO:0005524,GO:0003676,GO:0003677,GO:0008026,GO:0004003,GO:0004386,GO:0001085,GO:0003724,GO:0004004,GO:0005634,GO:0005737,GO:0005829,GO:0005730,GO:0005654,GO:0005813,GO:0030529,GO:0070937,GO:0045087,GO:0010467,GO:0008380,GO:0000398,GO:0007623,GO:0034605,GO:0032481,GO:0070934","protein binding,RNA binding,ATP binding,nucleic acid binding,DNA binding,ATP-dependent helicase activity,ATP-dependent DNA helicase activity,helicase activity,RNA polymerase II transcription factor binding,RNA helicase activity,ATP-dependent RNA helicase activity,nucleus,cytoplasm,cytosol,nucleolus,nucleoplasm,centrosome,ribonucleoprotein complex,CRD-mediated mRNA stability complex,innate immune response,gene expression,RNA splicing,mRNA splicing, via spliceosome,circadian rhythm,cellular response to heat,positive regulation of type I interferon production,CRD-mediated mRNA stabilization",.
DICER1,"dicer 1, ribonuclease type III [Source:HGNC Symbol;Acc:17098]",ENSG00000100697,ENSP00000437256,7,"Helicase_C[1],Dicer_dimer[1],dsrm[1],PAZ[1],DEAD[1],Ribonuclease_3[2]",family-111,DICER1,.,.,ncRNA,miRNA,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0003725,GO:0004525,GO:0035198,GO:0016891,GO:0006396,GO:0031054,GO:0030422,GO:2000630,GO:0035196,GO:0030423","RNA binding,double-stranded RNA binding,ribonuclease III activity,miRNA binding,endoribonuclease activity, producing 5'-phosphomonoesters,RNA processing,pre-miRNA processing,production of siRNA involved in RNA interference,positive regulation of miRNA metabolic process,production of miRNAs involved in gene silencing by miRNA,targeting of mRNA for destruction involved in RNA interference","GO:0003723,GO:0005515,GO:0005524,GO:0003676,GO:0046872,GO:0003677,GO:0003725,GO:0008026,GO:0016787,GO:0004386,GO:0004525,GO:0035198,GO:0016891,GO:0005829,GO:0016442,GO:0000122,GO:0045944,GO:0006915,GO:0043066,GO:0035264,GO:0001525,GO:0051225,GO:0010467,GO:0009791,GO:0006396,GO:0021889,GO:0021987,GO:0051726,GO:0060119,GO:0019827,GO:0055013,GO:0031069,GO:0035116,GO:0048754,GO:0051607,GO:0021675,GO:0030324,GO:0048812,GO:0021522,GO:0048536,GO:0031054,GO:0014040,GO:0010626,GO:0031643,GO:0030422,GO:0045069,GO:0010070,GO:0070173,GO:0060576,GO:0045664,GO:2000630,GO:0035196,GO:0030423,GO:0048713,GO:0071335,GO:0032290,GO:0030425,GO:0030424,GO:0030426,GO:0005793,GO:0010468,GO:0050767,GO:0008283,GO:0048565,GO:0030326,GO:0001942,GO:0010628,GO:0045595,GO:0048730,GO:0031641,GO:0042487","RNA binding,protein binding,ATP binding,nucleic acid binding,metal ion binding,DNA binding,double-stranded RNA binding,ATP-dependent helicase activity,hydrolase activity,helicase activity,ribonuclease III activity,miRNA binding,endoribonuclease activity, producing 5'-phosphomonoesters,cytosol,RISC complex,negative regulation of transcription from RNA polymerase II promoter,positive regulation of transcription from RNA polymerase II promoter,apoptotic process,negative regulation of apoptotic process,multicellular organism growth,angiogenesis,spindle assembly,gene expression,post-embryonic development,RNA processing,olfactory bulb interneuron differentiation,cerebral cortex development,regulation of cell cycle,inner ear receptor cell development,stem cell maintenance,cardiac muscle cell development,hair follicle morphogenesis,embryonic hindlimb morphogenesis,branching morphogenesis of an epithelial tube,defense response to virus,nerve development,lung development,neuron projection morphogenesis,spinal cord motor neuron differentiation,spleen development,pre-miRNA processing,positive regulation of Schwann cell differentiation,negative regulation of Schwann cell proliferation,positive regulation of myelination,production of siRNA involved in RNA interference,regulation of viral genome replication,zygote asymmetric cell division,regulation of enamel mineralization,intestinal epithelial cell development,regulation of neuron differentiation,positive regulation of miRNA metabolic process,production of miRNAs involved in gene silencing by miRNA,targeting of mRNA for destruction involved in RNA interference,regulation of oligodendrocyte differentiation,hair follicle cell proliferation,peripheral nervous system myelin formation,dendrite,axon,growth cone,endoplasmic reticulum-Golgi intermediate compartment,regulation of gene expression,regulation of neurogenesis,cell proliferation,digestive tract development,embryonic limb morphogenesis,hair follicle development,positive regulation of gene expression,regulation of cell differentiation,epidermis morphogenesis,regulation of myelination,regulation of odontogenesis of dentin-containing tooth"," GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS;"
DIMT1,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30217],ENSG00000086189,ENSP00000199320,1,RrnaAD[1],family-82,"DIMT1,TFB1M",DIMT1,"TFB1M[25,23]",rRNA,putative rRNA,DIM1 yeast homolog,RNAmod,RNAbinding,1,1,1,.,"GO:0000179,GO:0008649,GO:0000154,GO:0003723,GO:0016433,GO:0052909,GO:0006364","rRNA (adenine-N6,N6-)-dimethyltransferase activity,rRNA methyltransferase activity,rRNA modification,RNA binding,rRNA (adenine) methyltransferase activity,18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity,rRNA processing","GO:0016740,GO:0008168,GO:0000179,GO:0008649,GO:0008152,GO:0000154,GO:0003723,GO:0016433,GO:0052909,GO:0005730,GO:0006364","transferase activity,methyltransferase activity,rRNA (adenine-N6,N6-)-dimethyltransferase activity,rRNA methyltransferase activity,metabolic process,rRNA modification,RNA binding,rRNA (adenine) methyltransferase activity,18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity,nucleolus,rRNA processing",.
DIS3,DIS3 mitotic control homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20604],ENSG00000083520,ENSP00000367011,2,"PIN_4[1],RNB[1]",family-32,"DIS3,DIS3L,DIS3L2",DIS3,"DIS3L[36,32],DIS3L2[26,29]",diverse,diverse,established RBP ,.,.,.,.,1,.,"GO:0003723,GO:0000175,GO:0000178,GO:0000176,GO:0016070,GO:0016071,GO:0000288,GO:0006364,GO:0016075,GO:0043928,GO:0071034","RNA binding,3'-5'-exoribonuclease activity,exosome (RNase complex),nuclear exosome (RNase complex),RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,rRNA processing,rRNA catabolic process,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,CUT catabolic process","GO:0003723,GO:0005515,GO:0004519,GO:0005085,GO:0000175,GO:0005829,GO:0000178,GO:0005654,GO:0000176,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0006364,GO:0016075,GO:0043928,GO:0071034","RNA binding,protein binding,endonuclease activity,guanyl-nucleotide exchange factor activity,3'-5'-exoribonuclease activity,cytosol,exosome (RNase complex),nucleoplasm,nuclear exosome (RNase complex),gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,rRNA processing,rRNA catabolic process,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,CUT catabolic process",.
DIS3L,DIS3 mitotic control homolog (S. cerevisiae)-like [Source:HGNC Symbol;Acc:28698],ENSG00000166938,ENSP00000321711,1,RNB[1],family-32,"DIS3,DIS3L,DIS3L2",DIS3,"DIS3L[36,32],DIS3L2[26,29]",diverse,diverse,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0000175,GO:0000177,GO:0016075","RNA binding,3'-5'-exoribonuclease activity,cytoplasmic exosome (RNase complex),rRNA catabolic process","GO:0005886,GO:0005737,GO:0005813,GO:0003723,GO:0005515,GO:0019899,GO:0000175,GO:0000177,GO:0016075","plasma membrane,cytoplasm,centrosome,RNA binding,protein binding,enzyme binding,3'-5'-exoribonuclease activity,cytoplasmic exosome (RNase complex),rRNA catabolic process",.
DIS3L2,DIS3 mitotic control homolog (S. cerevisiae)-like 2 [Source:HGNC Symbol;Acc:28648],ENSG00000144535,ENSP00000390467,1,OB_RNB[1],family-32,"DIS3,DIS3L,DIS3L2",DIS3,"DIS3L[36,32],DIS3L2[26,29]",diverse,miRNA/mRNA,"The protein encoded by this gene is similar in sequence to 3'/5' exonucleolytic subunits of the RNA exosome. The exosome is a large multimeric ribonucleotide complex responsible for degrading various RNA substrates. Several transcript variants, some protein-coding and some not, have been found for this gene. [provided by RefSeq, Mar 2012]",.,.,.,.,.,.,"GO:0003723,GO:0004540,GO:0000175,GO:0000932,GO:0010587","RNA binding,ribonuclease activity,3'-5'-exoribonuclease activity,cytoplasmic mRNA processing body,miRNA catabolic process","GO:0003723,GO:0005515,GO:0004540,GO:0000175,GO:0005737,GO:0000932,GO:0005844,GO:0008285,GO:0007067,GO:0019827,GO:0010587,GO:0051306,GO:0000291,GO:0034427,GO:1990074","RNA binding,protein binding,ribonuclease activity,3'-5'-exoribonuclease activity,cytoplasm,cytoplasmic mRNA processing body,polysome,negative regulation of cell proliferation,mitosis,stem cell maintenance,miRNA catabolic process,mitotic sister chromatid separation,nuclear-transcribed mRNA catabolic process, exonucleolytic,nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5',polyuridylation-dependent mRNA catabolic process", PERLMAN SYNDROME; PRLMNS
DKC1,"dyskeratosis congenita 1, dyskerin [Source:HGNC Symbol;Acc:2890]",ENSG00000130826,ENSP00000358563,3,"PUA[1],DKCLD[1],TruB_N[1]",family-450,DKC1,.,.,snoRNA,snoRNA,established RBP ,.,RNAbinding,.,1,1,1,"GO:0003723,GO:0006396,GO:0009451,GO:0003720,GO:0005697,GO:0006364","RNA binding,RNA processing,RNA modification,telomerase activity,telomerase holoenzyme complex,rRNA processing","GO:0003723,GO:0009982,GO:0006396,GO:0001522,GO:0009451,GO:0005730,GO:0005515,GO:0003720,GO:0005634,GO:0005737,GO:0005654,GO:0015030,GO:0005697,GO:0008283,GO:0006364,GO:0000723,GO:0007004","RNA binding,pseudouridine synthase activity,RNA processing,pseudouridine synthesis,RNA modification,nucleolus,protein binding,telomerase activity,nucleus,cytoplasm,nucleoplasm,Cajal body,telomerase holoenzyme complex,cell proliferation,rRNA processing,telomere maintenance,telomere maintenance via telomerase"," DYSKERATOSIS CONGENITA, X-LINKED; DKCX"
DNAAF2,"dynein, axonemal, assembly factor 2 [Source:HGNC Symbol;Acc:20188]",ENSG00000165506,ENSP00000384862,1,PIH1[1],family-761,DNAAF2,.,.,unknown,unknown,by domain,.,.,.,.,.,.,.,.,"GO:0005737,GO:0032526,GO:0060285,GO:0070286,GO:0071973,GO:0005515,GO:0010033","cytoplasm,response to retinoic acid,ciliary cell motility,axonemal dynein complex assembly,bacterial-type flagellar cell motility,protein binding,response to organic substance"," CILIARY DYSKINESIA, PRIMARY, 10; CILD10"
DNAJC17,"DnaJ (Hsp40) homolog, subfamily C, member 17 [Source:HGNC Symbol;Acc:25556]",ENSG00000104129,ENSP00000220496,2,"RRM_5[1],DnaJ[1]",family-932,"DNAJC12,DNAJC17",DNAJC12,"DNAJC17[22,14]",unknown,unknown,by domain,.,.,.,.,.,1,GO:0003723,RNA binding,"GO:0000166,GO:0003723,GO:0003676","nucleotide binding,RNA binding,nucleic acid binding",.
DNAJC21,"DnaJ (Hsp40) homolog, subfamily C, member 21 [Source:HGNC Symbol;Acc:27030]",ENSG00000168724,ENSP00000306289,3,"zf-C2H2_jaz[1],DnaJ[1],zf-C2H2_2[1]",family-778,DNAJC21,.,.,unknown,unknown,by domain,.,RNArelated,.,1,.,.,GO:0005840,ribosome,"GO:0005515,GO:0008270,GO:0003676,GO:0046872,GO:0005840,GO:0006457","protein binding,zinc ion binding,nucleic acid binding,metal ion binding,ribosome,protein folding",.
DND1,dead end homolog 1 (zebrafish) [Source:HGNC Symbol;Acc:23799],ENSG00000256453,ENSP00000445366,2,"RRM_1[1],DND1_DSRM[1]",family-347,"A1CF,RBM47,DND1,RBM46,SYNCRIP,HNRNPR",A1CF,"RBM47[46,46],DND1[19,32],RBM46[44,49],SYNCRIP[31,30],HNRNPR[32,30]",mRNA,mRNA,established RBP ,.,.,.,.,.,1,"GO:0017091,GO:0060965","AU-rich element binding,negative regulation of gene silencing by miRNA","GO:0005515,GO:0000166,GO:0003676,GO:0017091,GO:0005634,GO:0005737,GO:0007275,GO:0007281,GO:0060965","protein binding,nucleotide binding,nucleic acid binding,AU-rich element binding,nucleus,cytoplasm,multicellular organismal development,germ cell development,negative regulation of gene silencing by miRNA",.
DNMT1,DNA (cytosine-5-)-methyltransferase 1 [Source:HGNC Symbol;Acc:2976],ENSG00000130816,ENSP00000352516,6,"DNA_methylase[1],BAH[2],DNMT1-RFD[1],DMAP_binding[1],zf-CXXC[1]",family-654,DNMT1,.,.,ncRNA,lincRNA,"24107992, 24481530",.,.,.,.,.,.,GO:0003723,RNA binding,"GO:0003723,GO:0008270,GO:0003677,GO:0003682,GO:0008168,GO:0008134,GO:0003886,GO:0008327,GO:0005634,GO:0005721,GO:0005657,GO:0045892,GO:0042127,GO:0006306,GO:0010216,GO:0071230,GO:0016458,GO:0090116,GO:0005515,GO:0009008,GO:0000792,GO:0000122,GO:0010468,GO:0006351,GO:0010628,GO:0016568,GO:0051571,GO:0051573","RNA binding,zinc ion binding,DNA binding,chromatin binding,methyltransferase activity,transcription factor binding,DNA (cytosine-5-)-methyltransferase activity,methyl-CpG binding,nucleus,centromeric heterochromatin,replication fork,negative regulation of transcription, DNA-dependent,regulation of cell proliferation,DNA methylation,maintenance of DNA methylation,cellular response to amino acid stimulus,gene silencing,C-5 methylation of cytosine,protein binding,DNA-methyltransferase activity,heterochromatin,negative regulation of transcription from RNA polymerase II promoter,regulation of gene expression,transcription, DNA-templated,positive regulation of gene expression,chromatin modification,positive regulation of histone H3-K4 methylation,negative regulation of histone H3-K9 methylation"," CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN"
DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta [Source:HGNC Symbol;Acc:2979],ENSG00000088305,ENSP00000328547,2,"DNA_methylase[1],PWWP[1]",family-382,"DNMT3A,DNMT3L,DNMT3B",DNMT3A,"DNMT3L[16,38],DNMT3B[46,49]",diverse,ncRNA/DNA hybrid,20952535,.,.,.,.,.,.,.,.,"GO:0003714,GO:0005515,GO:0046872,GO:0003677,GO:0008168,GO:0003886,GO:0009008,GO:0005634,GO:0043231,GO:0005720,GO:0000122,GO:0010628,GO:0006306,GO:0006346,GO:0006349,GO:0051571,GO:0051573,GO:0071230,GO:0031503,GO:0051718,GO:0045322,GO:0000792,GO:0005737,GO:0090116,GO:0042493,GO:0046499,GO:0010424,GO:0046498,GO:0045666,GO:0045892,GO:0010212","transcription corepressor activity,protein binding,metal ion binding,DNA binding,methyltransferase activity,DNA (cytosine-5-)-methyltransferase activity,DNA-methyltransferase activity,nucleus,intracellular membrane-bounded organelle,nuclear heterochromatin,negative regulation of transcription from RNA polymerase II promoter,positive regulation of gene expression,DNA methylation,methylation-dependent chromatin silencing,regulation of gene expression by genetic imprinting,positive regulation of histone H3-K4 methylation,negative regulation of histone H3-K9 methylation,cellular response to amino acid stimulus,protein complex localization,DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates,unmethylated CpG binding,heterochromatin,cytoplasm,C-5 methylation of cytosine,response to drug,S-adenosylmethioninamine metabolic process,DNA methylation on cytosine within a CG sequence,S-adenosylhomocysteine metabolic process,positive regulation of neuron differentiation,negative regulation of transcription, DNA-dependent,response to ionizing radiation", IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME
DNTTIP2,"deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:HGNC Symbol;Acc:24013]",ENSG00000067334,ENSP00000411010,1,Fcf2[1],family-870,DNTTIP2,.,.,rRNA,putative rRNA,"by domain, This gene is thought to be involved in chromatin remodeling and gene transcription. The encoded nuclear protein binds to and enhances the transcriptional activity of the estrogen receptor alpha, and also interacts with terminal deoxynucleotidyltransferase. The expression profile of this gene is a potential biomarker for chronic obstructive pulmonary disease. [provided by RefSeq, Dec 2010]",candidate mRNA binder,novel,1,1,1,.,.,.,"GO:0005634,GO:0005730,GO:0006351,GO:0006355","nucleus,nucleolus,transcription, DNA-templated,regulation of transcription, DNA-dependent",.
DQX1,DEAQ box RNA-dependent ATPase 1 [Source:HGNC Symbol;Acc:20410],ENSG00000144045,ENSP00000377523,3,"OB_NTP_bind[1],HA2[1],AAA_22[1]",family-711,"DHX15,DHX33,DHX8,DHX35,DHX32,DHX16,DQX1",DHX15,"DHX33[35,39],DHX8[46,30],DHX35[38,43],DHX32[36,38],DHX16[46,35],DQX1[33,36]",mRNA,putative mRNA,PRP43 yeast homolog,.,.,.,.,.,.,.,.,"GO:0005524,GO:0003676,GO:0004386,GO:0005634","ATP binding,nucleic acid binding,helicase activity,nucleus",.
DRG1,developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:3029],ENSG00000185721,ENSP00000329715,2,"MMR_HSR1[1],TGS[1]",family-476,DRG1,.,.,mRNA,putative mRNA,"RBG1, 19819225",.,.,.,.,.,.,.,.,"GO:0005515,GO:0005525,GO:0008134,GO:0042802,GO:0015093,GO:0016021,GO:0005634,GO:0005737,GO:0045111,GO:0005844,GO:0006351,GO:0007275,GO:0015684","protein binding,GTP binding,transcription factor binding,identical protein binding,ferrous iron transmembrane transporter activity,integral to membrane,nucleus,cytoplasm,intermediate filament cytoskeleton,polysome,transcription, DNA-templated,multicellular organismal development,ferrous iron transport",.
DRG2,developmentally regulated GTP binding protein 2 [Source:HGNC Symbol;Acc:3030],ENSG00000108591,ENSP00000225729,2,"MMR_HSR1[1],TGS[1]",family-1093,DRG2,.,.,mRNA,putative mRNA,RBG1 yeast homolog,.,.,.,.,.,.,.,.,"GO:0005525,GO:0015093,GO:0016021,GO:0015684,GO:0005737,GO:0005739,GO:0007165","GTP binding,ferrous iron transmembrane transporter activity,integral to membrane,ferrous iron transport,cytoplasm,mitochondrion,signal transduction",.
DROSHA,"drosha, ribonuclease type III [Source:HGNC Symbol;Acc:17904]",ENSG00000113360,ENSP00000409335,3,"Ribonucleas_3_3[1],dsrm[1],Ribonuclease_3[1]",family-501,DROSHA,.,.,ncRNA,miRNA,established RBP ,nuclease,RNAbinding,1,1,.,.,"GO:0003723,GO:0004525,GO:0042254,GO:0006396,GO:0010586,GO:0016075,GO:0031054,GO:0004521","RNA binding,ribonuclease III activity,ribosome biogenesis,RNA processing,miRNA metabolic process,rRNA catabolic process,pre-miRNA processing,endoribonuclease activity","GO:0003723,GO:0005515,GO:0046872,GO:0004525,GO:0005730,GO:0005654,GO:0042254,GO:0010467,GO:0006396,GO:0010586,GO:0016075,GO:0031054,GO:0004521,GO:0010468","RNA binding,protein binding,metal ion binding,ribonuclease III activity,nucleolus,nucleoplasm,ribosome biogenesis,gene expression,RNA processing,miRNA metabolic process,rRNA catabolic process,pre-miRNA processing,endoribonuclease activity,regulation of gene expression",.
